Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2025,2,49,Tyrese Proctor,PG,6-4,185.0,21.0,Duke,Jr *,,0
2025,2,58,Saliou Niang,F,6-5,190.0,21.0,Dolomiti Energia Trento (Italy),2004 DOB *,,0
2024,1,20,Jaylon Tyson,F,6-6,215.0,21.0,California,Jr *,,1
2023,2,49,Emoni Bates,SF,6-9,202.0,19.0,Eastern Michigan,So *,,2
2022,1,14,Ochai Agbaji,SF,6-5,215.0,22.0,Kansas,Sr *,,3
2022,2,39,Khalifa Diop,FC,6-10,231.0,20.0,Dreamland Gran Canaria (Spain),2002 DOB *,,0
2022,2,49,Isaiah Mobley,SF,6-8,238.0,22.0,USC,Jr *,,3
2022,2,56,Luke Travers,F,6-6,207.0,20.0,Perth (Australia),2001 DOB *,,1
2021,1,3,Evan Mobley,PF,6-11,215.0,20.0,USC,Fr *,,4
2020,1,5,Isaac Okoro,SG,6-4,225.0,19.0,Auburn,Fr *,,5
2019,1,5,Darius Garland,G,6-1,192.0,19.0,Vanderbilt,Fr *,,6
2019,1,26,Dylan Windler,SF,6-7,196.0,22.0,Belmont,Sr,,5
2018,1,8,Collin Sexton,PG,6-3,190.0,19.0,Alabama,Fr *,,7
2015,1,24,Tyus Jones,PG,6-0,196.0,19.0,Duke,Fr *,CLE to MIN,10
2015,2,53,Dom Pointer,SF,6-5,200.0,23.0,St. John's,Sr,,1
2014,1,1,Andrew Wiggins,F,6-6,197.0,19.0,Kansas,Fr *,,11
2014,2,33,Joe Harris,SG,6-6,220.0,22.0,Virginia,Sr,,10
2013,1,1,Anthony Bennett,PF,6-8,245.0,20.0,UNLV,Fr *,,4
2013,1,19,Sergey Karasev,SF,6-7,213.0,19.0,Zenit Saint Petersburg (Russia),1993 DOB *,,3
2013,2,31,Allen Crabbe,SG,6-6,212.0,21.0,California,Jr *,CLE to POR,7
2013,2,33,Carrick Felix,SF,6-6,200.0,22.0,Arizona State,Sr,,2
2012,1,4,Dion Waiters,SG,6-4,215.0,20.0,Syracuse,So *,,8
2012,1,24,Jared Cunningham,SG,6-4,194.0,21.0,Oregon State,Jr *,CLE to DAL,4
2012,2,33,Bernard James,PF,6-10,230.0,27.0,Florida State,Sr,CLE to DAL,3
2012,2,34,Jae Crowder,SF,6-6,235.0,21.0,Marquette,Sr,CLE to DAL,13
2011,1,1,Kyrie Irving,G,6-2,195.0,19.0,Duke,Fr *,,14
2011,1,4,Tristan Thompson,F,6-9,254.0,20.0,Texas,Fr *,,14
2011,2,32,Justin Harper,PF,6-10,225.0,21.0,Richmond,Sr,CLE to ORL,3
2011,2,54,Milan Macvan,PF,6-9,265.0,21.0,KK Vrsac Swisslion (Serbia),1989 DOB,,0
2009,1,30,Christian Eyenga,GF,6-7,210.0,20.0,CB Prat (Spain),1989 DOB *,,2
2009,2,46,Danny Green,SF,6-6,215.0,22.0,North Carolina,Sr,,15
2008,1,19,J.J. Hickson,PF,6-9,242.0,19.0,NC State,Fr *,,8
2006,1,25,Shannon Brown,G,6-4,210.0,20.0,Michigan State,Jr *,,9
2006,2,42,Daniel Gibson,G,6-2,200.0,20.0,Texas,So *,,7
2006,2,55,Ejike Ugboaja,F,6-9,225.0,21.0,Union Bank Lagos (Nigeria),1985 DOB *,,0
2004,1,10,Luke Jackson,SF,6-7,215.0,22.0,Oregon,Sr,,4
2003,1,1,LeBron James,F,6-9,250.0,18.0,St. Vincent St. Mary High School (Ohio),1984 DOB *,,22
2003,2,31,Jason Kapono,SF,6-8,213.0,22.0,UCLA,Sr,,9
2002,1,6,Dajuan Wagner,G,6-2,200.0,19.0,Memphis,Fr *,,4
2002,2,34,Carlos Boozer,PF,6-9,266.0,20.0,Duke,Jr *,,13
2001,1,8,DeSagana Diop,C,7-0,280.0,19.0,Oak Hill Academy (Virginia),1982 DOB *,,12
2001,1,20,Brendan Haywood,C,7-0,263.0,21.0,North Carolina,Sr,CLE to ORL ORL to WAS,14
